name,address,category,longitude,latitude,phone,place_url,near_sea,place_name
진도수품,전남 진도군 진도읍 남동리 775-11,"음식점 > 한식 > 해물,생선",126.262075945595,34.4809772653444,0503-7150-0042,http://place.map.kakao.com/1459536270,True,수품어장
모항항,충남 태안군 소원면 모항리,"교통,수송 > 교통시설 > 항구,포구",126.134377327847,36.7759934066356,041-670-2114,http://place.map.kakao.com/8312298,True,모항항
태안,충남 태안군 소원면 의항리 868,"여행 > 관광,명소 > 수목원,식물원",126.149497313658,36.7988639112436,041-672-9982,http://place.map.kakao.com/8082599,True,천리포수목원
송호리,전남 해남군 송지면 송호리 1161,"여행 > 관광,명소",126.52709485983617,34.298519778347504,061-530-5544,http://place.map.kakao.com/7851103,True,땅끝마을
도초도,전남 신안군 도초면 수항리,"여행 > 관광,명소 > 섬",125.961015011776,34.6945474448819,,http://place.map.kakao.com/7833136,True,도초도
땅끝항,전남 해남군 송지면 송호리 1310,"교통,수송 > 교통시설 > 항구,포구",126.529575695578,34.29834542825679,,http://place.map.kakao.com/2050401817,True,땅끝항
석도,제주특별자치도 서귀포시 서귀동 726-6,"음식점 > 한식 > 해물,생선 > 회",126.56504028619972,33.24245286737059,064-733-9844,http://place.map.kakao.com/1235614571,True,석도수산
만리포항,충남 태안군 소원면 모항리,"교통,수송 > 교통시설 > 항구,포구",126.133440811976,36.7855525200791,,http://place.map.kakao.com/25450221,True,만리포
송호항,전남 해남군 송지면 송호리 1310,"교통,수송 > 교통시설 > 항구,포구",126.529575695578,34.29834542825679,,http://place.map.kakao.com/2050401817,True,땅끝항
갈두항,전남 해남군 송지면 송호리 1310,"교통,수송 > 교통시설 > 항구,포구",126.529575695578,34.29834542825679,,http://place.map.kakao.com/2050401817,True,땅끝항
시목해변,전남 신안군 도초면 오류리 116-1,"여행 > 관광,명소 > 해수욕장,해변",125.95197660498381,34.67307586810271,,http://place.map.kakao.com/25626390,True,시목해수욕장
모항방파제,충남 태안군 소원면 모항리,"교통,수송 > 교통시설 > 선착장,항만시설 > 방파제",126.12919962442,36.7774189817919,,http://place.map.kakao.com/27015923,True,모항방파제
소이작도,인천 옹진군 자월면 이작리,"여행 > 관광,명소 > 섬",126.234231128207,37.1821276491925,,http://place.map.kakao.com/18376766,True,소이작도
양포항,경북 포항시 남구 장기면 양포리 9-32,"교통,수송 > 교통시설 > 항구,포구",129.520018851223,35.8810769062536,,http://place.map.kakao.com/8495016,True,양포항
부산,부산 해운대구 우동,"여행 > 관광,명소 > 해수욕장,해변",129.159854668484,35.1585232170784,051-749-7612,http://place.map.kakao.com/7913306,True,해운대해수욕장
해운대,부산 해운대구 우동,"여행 > 관광,명소 > 해수욕장,해변",129.159854668484,35.1585232170784,051-749-7612,http://place.map.kakao.com/7913306,True,해운대해수욕장
초음리,경남 남해군 이동면 초음리 1594,"여행 > 관광,명소 > 저수지",127.92294463755562,34.81891810411396,,http://place.map.kakao.com/23182437,True,장평소류지
문도,충남 보령시 궁촌동 344-1,음식점 > 카페,126.58821773330875,36.341860883629494,041-932-1005,http://place.map.kakao.com/180269555,True,문도노보
대방진굴항,경남 사천시 대방동 251,"교통,수송 > 교통시설 > 항구,포구",128.056758430202,34.9289134383783,055-831-2725,http://place.map.kakao.com/10250691,True,대방진굴항
초양방파제,경남 사천시 늑도동 502-13,"교통,수송 > 교통시설 > 선착장,항만시설 > 방파제",128.042349694031,34.9249674507191,,http://place.map.kakao.com/1978173335,True,초양방파제
초양방파제,경남 사천시 늑도동 502-13,"교통,수송 > 교통시설 > 선착장,항만시설 > 방파제",128.042349694031,34.9249674507191,,http://place.map.kakao.com/1978173335,True,초양방파제
실안방파제,경남 사천시 실안동 875-23,"교통,수송 > 교통시설 > 선착장,항만시설 > 방파제",128.03966357305956,34.94001763908527,,http://place.map.kakao.com/25449989,True,실안방파제
경포항,강원특별자치도 강릉시 견소동 286-10,"교통,수송 > 교통시설 > 항구,포구",128.95304152743176,37.77281071444708,,http://place.map.kakao.com/7992608,True,강릉항
군령포항,경북 포항시 북구 학산동 213-1,"여행 > 관광,명소 > 문화유적 > 탑,비석",129.3648761307,36.0496423971293,,http://place.map.kakao.com/18937101,True,포항여중전투학도의용군령비
민락항,부산 해운대구 우동 1399,"교통,수송 > 교통시설 > 항구,포구",129.134870104084,35.1625401993803,,http://place.map.kakao.com/365130072,True,우동항
미포방파제,부산 해운대구 중동 1015-9,"교통,수송 > 교통시설 > 선착장,항만시설 > 방파제",129.171023290549,35.1576314285083,,http://place.map.kakao.com/1964866278,True,미포방파제
일과리방파제,제주특별자치도 서귀포시 대정읍 일과리 1291-4,"교통,수송 > 교통시설 > 선착장,항만시설 > 방파제",126.227627749132,33.2393799047633,,http://place.map.kakao.com/25016692,True,일과리방파제
